Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
301240,CAR,102906,Wage/Salaries,0,44135,38734,15810,7427,2040,5665,16040,1534,0,3430,47028,18000,0,12120,2700,600,27966,1500,0,0,Male,45,Married,First Year College,With Job/Business,Motorcycle drivers,Worked for government/government corporation,Single Family,5,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,11,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,4,0,0,0,0
117410,CAR,87743,Wage/Salaries,0,41207,35999,11649,11688,2530,6539,4450,160,9412,3110,9816,6000,0,8700,2460,1650,7008,1500,0,0,Male,37,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,0,3,2,Single house,"Light material (cogon,nipa,anahaw)",Light,36,12,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,3,0,0,0,0
152913,CAR,59310,Wage/Salaries,0,25390,21694,8073,7887,1820,7732,0,1645,3620,2830,16500,10800,100,3600,540,0,4206,1200,38635,38635,Male,51,Married,Grade 4,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,30,12,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,1
86964,CAR,62023,Wage/Salaries,1,26806,21468,9174,7091,1410,6635,0,1080,0,1570,15000,10200,128,960,420,0,3018,0,24800,24800,Male,51,Married,High School Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,2,0,0,2,Single house,Mixed but predominantly strong materials,Quite Strong,30,7,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0
226761,CAR,104427,Wage/Salaries,0,33631,25356,9303,14685,2323,7862,9267,0,0,3125,24060,15000,1470,15600,1800,0,13470,3500,0,0,Male,26,Married,Engineering and Engineering Trades Programs,With Job/Business,"Statistical, mathematical and related associate professionals",Worked for government/government corporation,Single Family,4,2,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,18,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,1,1,0,0,0,3,1,0,0,1
153585,CAR,110631,Wage/Salaries,0,40476,31977,8840,9878,1550,7251,20845,2925,6335,8740,16200,9000,220,8784,2760,2350,10770,4200,0,0,Male,38,Married,Engineering and Engineering trades Programs,With Job/Business,"Lineman, line installers and cable splicers",Worked for private establishment,Single Family,6,1,3,1,Single house,Mixed but predominantly strong materials,Quite Strong,48,15,1,Own or owner-like possession of house and lot,"Water-sealed, other depository, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,1,0,0,0,0,3,0,0,0,0
96855,CAR,81985,Wage/Salaries,1,31837,27567,10385,9131,2130,6015,4285,1680,4540,4860,16500,11400,120,4800,270,100,5304,1500,35205,35205,Male,38,Married,High School Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,5,2,1,2,Single house,"Light material (cogon,nipa,anahaw)",Light,35,23,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,1
264520,CAR,108109,Wage/Salaries,0,50073,36779,14649,15119,2815,7641,700,4615,5792,3380,22674,13200,120,5598,1680,0,18702,2700,0,0,Male,53,Married,High School Graduate,With Job/Business,Carpenters and joiners,Worked for private establishment,Extended Family,4,0,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,48,2,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,1,0,0,0,0,2,0,0,0,1
241065,CAR,96505,Wage/Salaries,0,40091,26531,10822,12136,2340,9261,6285,1105,2534,1750,31794,18000,150,9660,3060,550,23454,2000,26905,26905,Male,68,Married,Elementary Graduate,With Job/Business,Rice farmers,Employer in own family-operated farm or business,Extended Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,63,10,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,1,0,0,0,0,3,0,0,0,2
121751,CAR,91575,Other sources of Income,1,38181,30368,9279,10968,1440,7387,9888,510,7375,2860,14700,7200,120,7200,960,700,9306,2300,28970,28970,Male,34,Married,High School Graduate,With Job/Business,Rice farmers,Employer in own family-operated farm or business,Extended Family,7,1,3,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Very Light,30,17,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0
